omitted,g,ci_lo,ci_hi
Kircanski 2012 (vs. reappraisal),-0.45038086969668367,-0.6942957900750365,-0.20646594931833082
Kircanski 2012 (vs. distraction),-0.46946117586125163,-0.7250184491158266,-0.2139039026066767
Kircanski 2012 (vs. exposure-only),-0.4852205645253837,-0.7481309129261684,-0.22231021612459906
Tabibnia 2008 (Exp 2: neg-label vs. exposure),-0.4537671154197635,-0.6942226219980083,-0.21331160884151862
"Niles 2015 (SCR-NS, recovery)",-0.4791159604142019,-0.73803243836555,-0.2201994824628538
"Plaisted 2022 (HR recovery, adolescents, RCT)",-0.5410649865385686,-0.8036250624383603,-0.2785049106387769
"Fitzpatrick 2019 (SCR, healthy controls)",-0.5921081241396389,-0.8045498004016423,-0.3796664478776355
"Matejka 2013 (emotion-verb. vs. fact, neg)",-0.5109278456845657,-0.793771821286154,-0.22808387008297754
